LOCATION,Country,TIME,Time,PowerCode,Reference.Period.Code,Reference.Period,Value,time
CHL,Chile,2015-01,Jan-2015,Units,2015_100,2015=100,97.58028,2015-01-01
CHL,Chile,2015-02,Feb-2015,Units,2015_100,2015=100,97.92894,2015-02-01
CHL,Chile,2015-03,Mar-2015,Units,2015_100,2015=100,98.53909,2015-03-01
CHL,Chile,2015-04,Apr-2015,Units,2015_100,2015=100,99.11655,2015-04-01
CHL,Chile,2015-05,May-2015,Units,2015_100,2015=100,99.29089,2015-05-01
CHL,Chile,2015-06,Jun-2015,Units,2015_100,2015=100,99.77029,2015-06-01
CHL,Chile,2015-07,Jul-2015,Units,2015_100,2015=100,100.1843,2015-07-01
CHL,Chile,2015-08,Aug-2015,Units,2015_100,2015=100,100.8707,2015-08-01
CHL,Chile,2015-09,Sep-2015,Units,2015_100,2015=100,101.3828,2015-09-01
CHL,Chile,2015-10,Oct-2015,Units,2015_100,2015=100,101.7969,2015-10-01
CHL,Chile,2015-11,Nov-2015,Units,2015_100,2015=100,101.7642,2015-11-01
CHL,Chile,2015-12,Dec-2015,Units,2015_100,2015=100,101.7751,2015-12-01
CHL,Chile,2016-01,Jan-2016,Units,2015_100,2015=100,102.2545,2016-01-01
CHL,Chile,2016-02,Feb-2016,Units,2015_100,2015=100,102.5378,2016-02-01
CHL,Chile,2016-03,Mar-2016,Units,2015_100,2015=100,102.93,2016-03-01
CHL,Chile,2016-04,Apr-2016,Units,2015_100,2015=100,103.2677,2016-04-01
CHL,Chile,2016-05,May-2016,Units,2015_100,2015=100,103.4966,2016-05-01
CHL,Chile,2016-06,Jun-2016,Units,2015_100,2015=100,103.9651,2016-06-01
CHL,Chile,2016-07,Jul-2016,Units,2015_100,2015=100,104.2157,2016-07-01
CHL,Chile,2016-08,Aug-2016,Units,2015_100,2015=100,104.2701,2016-08-01
CHL,Chile,2016-09,Sep-2016,Units,2015_100,2015=100,104.5207,2016-09-01
CHL,Chile,2016-10,Oct-2016,Units,2015_100,2015=100,104.6951,2016-10-01
